Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
22,The use of DHMO is highly prevalent in the ____ industry.,,,,meat,,wheat,,car,,dairy,,,,,,,,,,,,,,,,,,,,,,,,4
23,Current allegations suggest that the United States ____________ may be conspiring to cover up the whole DHMO issue.,,,,Flat Earth Society,,Environmental Protection Agency,,Sierra Club,,Centers for Disease Control & Prevention,,,,,,,,,,,,,,,,,,,,,,,,2
24,How has the EPA responded to claims about being involved in a cover-up?,,,,Admitting their involvement,,Heavily implying their involvement,,Change the subject,,Refusal to admit to their involvement,,,,,,,,,,,,,,,,,,,,,,,,4
25,Prolonged exposure to the solid form of DHMO causes...,,,,severe burns,,severe tissue damage,,an inability to reproduce,,addiction to eyskube,,,,,,,,,,,,,,,,,,,,,,,,2
26,"For those who become dependent on DHMO, withdrawal means...",,,,severe depression,,losing the ability to concentrate,,nausea and vomiting,,certain death,,,,,,,,,,,,,,,,,,,,,,,,4
27,What is the penalty for companies dumping waste DHMO into rivers?,,,,A $1-2 billion fine,,Imprisonment of members responsible for the decision,,Shutting down of the company,,There is no penalty,,,,,,,,,,,,,,,,,,,,,,,,4
28,Dihydrogen monoxide is often used (despite the danger) in...,,,,nuclear power plants,,many forms of cruel animal research,,junk foods and other food products,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,4
29,The SPAM email example suggests sending them how much money?,,,,-$12,,$3.00,,"$3.00, or however many you wish",,$6.022 x 10^23,,,,,,,,,,,,,,,,,,,,,,,,3
30,Dihydrogen monoxide was found at ____ recent incident of gun violence.,,,,no,,one,,almost every,,every,,,,,,,,,,,,,,,,,,,,,,,,4
31,Some call Dihydrogen Monoxide...,,,,"the ""Invisible Killer""",,"the ""Chickenpox of today""",,"the ""gray between white and black""",,"a ""big wet hen""",,,,,,,,,,,,,,,,,,,,,,,,1
32,Thousands die each year after _____ dihydrogen monoxide.,,,,drinking,,spitting out,,inhaling,,bathing in,,,,,,,,,,,,,,,,,,,,,,,,3
33,The National Consumer Coalition Against DHMO has the goal of...,,,,raising public awareness about DHMO,,lobbying Congress about public policy involving the dangers of DHMO,,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,3
34,"The basis of dihydrogen monoxide is the highly reactive _____ radical, a species shown to mutate DNA, denature proteins, disrupt cell membranes, and chemically alter critical neurotransmitters.",,,,carbonyl,,carboxyl,,hydroxyl,,methyl,,,,,,,,,,,,,,,,,,,,,,,,3
35,What is the single largest contaminant of milk?,,,,Sulfuric Acid,,Calcium,,Iron,,Dihydrogen Monoxide,,,,,,,,,,,,,,,,,,,,,,,,4
